Empresa,Ticker,Setor,"Valor de Mercado",P/L,P/VP,LPA,ROE,ROIC,"Margem Líquida","Margem Bruta","Margem EBITDA","CAGR de Lucro","CAGR de Receita","Dívida Líq. / EBITDA","Liquidez Corrente"
UNICASA,UCAS3,"Consumo Discricionário",95825227.8,-4.90,0.55,-0.30,-0.1096,-0.1089,-0.0842,0.3107,0.0016,-0.2004,0.0969,271.11,1.46
UNIPAR,UNIP3,Materiais,6740399249.76,13.83,3.75,4.32,0.2008,0.1011,0.0950,0.2849,0.2154,0.0585,0.0586,2.21,2.29
"GRUPO TOKY",TOKY3,"Consumo Discricionário",86714796,-0.88,0.19,-0.43,-0.8477,-0.0359,-0.0651,0.5250,0.1345,,0.1910,2.45,0.88
TC,TRAD3,"Consumo Discricionário",89246872.37,1.01,0.78,2.16,0.5170,-0.2511,3.1478,0.1905,-1.8884,,,0.17,8.24
TEGMA,TGMA3,Indústria,1933885409.5,9.03,2.37,0.00,0.0000,0.1876,0.0000,0.1928,0.1485,0.2558,0.1707,0.27,2.10
TEKNO,TKNO3,Materiais,643288241.99,21.11,2.19,10.18,0.0940,0.0610,0.1011,0.2126,0.1191,0.1859,0.1024,-1.00,3.78
TIM,TIMS3,"Serviços de Comunicação",63415257317.39,15.23,1.73,0.74,0.0000,0.2320,0.0723,0.5393,0.5161,0.1852,0.0905,-0.23,0.89
TOTVS,TOTS3,"Tecnologia da Informação",20529504149.25,23.49,4.10,1.49,0.1794,0.2502,0.1545,0.7026,0.4352,0.2477,0.1733,0.02,1.96
"TRIUNFO PART",TPIS3,Indústria,297000000,-0.77,0.58,-8.77,-0.4885,0.2877,-0.3660,0.2890,-0.0522,0.2284,0.0171,-21.57,0.23
"TRACK FIELD",TFCO4,"Consumo Discricionário",1032822465.28,4.41,1.91,3.71,0.4653,0.2537,0.2320,0.5746,0.2280,0.5654,0.3138,0.57,2.72
TRISUL,TRIS3,Imobiliário,1346527335.9,6.87,0.97,0.84,0.1343,0.0630,0.1478,0.2934,0.1582,0.0368,0.0942,2.38,2.97
TENDA,TEND3,Imobiliário,3606249231.84,7.56,3.19,4.13,0.4313,0.2399,0.1212,0.3008,0.1649,0.2035,0.1283,0.39,2.10
"TAURUS ARMAS",TASA3,Indústria,706659386.13,40.12,0.57,0.13,0.0139,-0.0022,0.0121,0.3433,0.0422,-0.4175,-0.0377,9.26,1.58
TECHNOS,TECN3,"Consumo Discricionário",509785019.55,7.58,1.24,1.17,0.1680,0.1652,0.1494,0.5469,0.2576,0.2487,0.1436,0.07,3.69
TECNISA,TCSA3,Imobiliário,97913575.9,-0.94,0.33,-1.37,-0.3113,-0.1203,-0.4692,-0.1607,-0.4300,-0.1803,0.0350,-5.37,1.44
